title,body
¿Con qué frecuencia debo llevar a mi perro al veterinario?,"Los perros deben visitar al veterinario al menos una vez al año para un examen de bienestar de rutina. Los cachorros menores de un año necesitan visitas más frecuentes: generalmente a las 8 semanas, 12 semanas, 16 semanas y luego a los 6 meses. Los perros mayores de 7 años se benefician de chequeos cada 6 meses, ya que las condiciones relacionadas con la edad pueden desarrollarse rápidamente. Durante el examen, el veterinario revisará el peso, los dientes, el corazón, los pulmones, la piel y actualizará las vacunas según sea necesario."
¿Qué alimentos son tóxicos para los perros?,"Los alimentos tóxicos para perros incluyen: uvas y pasas (pueden causar insuficiencia renal), chocolate (toxicidad por teobromina), xilitol (presente en chicles sin azúcar y algunas mantequillas de maní — causa insuficiencia hepática y bajada de azúcar), cebollas y ajos (dañan los glóbulos rojos), nueces de macadamia, alcohol, cafeína, aguacate y masa de levadura cruda. Incluso pequeñas cantidades de xilitol o uvas pueden ser mortales. Si su perro ingirió alguno de estos alimentos, comuníquese con su veterinario o con el Control de Envenenamiento de la ASPCA de inmediato."
Mi perro está cojeando — ¿qué podría ser?,"La cojera en perros puede variar de leve a grave. EMERGENCIA — busque atención inmediata si: el perro no puede apoyar ningún peso, la extremidad está visiblemente deformada o hinchada, hay una herida abierta o hueso visible, el perro llora constantemente, o fue atropellado por un vehículo. URGENTE — consulte al veterinario en 24 horas si: la cojera persiste más de 24 horas, hay hinchazón, o el perro lame obsesivamente la pata. RUTINA — programe una cita si: cojera leve que va y viene, especialmente en perros mayores (puede indicar artritis). Causas comunes: espina o corte en la almohadilla, esguince, desgarro del ligamento cruzado, displasia de cadera, artritis o fractura ósea."
Mi perro está vomitando — ¿es una emergencia?,"EMERGENCIA — llame al veterinario de emergencias de inmediato si: vomita sangre o material parecido a posos de café, hace arcadas sin producir vómito (dilatación gástrica — mortal en razas grandes), tiene el abdomen distendido con arcadas, vomitó algo tóxico, está colapsado o no responde. URGENTE — consulte en 12 horas si: vomita más de 3 veces en 24 horas, el vómito se combina con diarrea, o no puede retener agua. RUTINA — vigile en casa si: uno o dos episodios aislados, el perro está alerta y activo. Retire el alimento durante 4–6 horas y luego ofrezca pequeñas cantidades de comida blanda (pollo hervido con arroz)."
¿Para qué se usa el Apoquel?,"Apoquel (oclacitinib) es un medicamento oral que se usa en perros para controlar el picor y la inflamación asociados con enfermedades alérgicas de la piel, como la dermatitis atópica y la dermatitis alérgica por pulgas o alimentos. Actúa dirigiéndose a enzimas específicas (inhibidores JAK) involucradas en la señal de picor e inflamación. Generalmente comienza a actuar en 4 horas y brinda un alivio significativo en 24 horas. Está aprobado para perros mayores de 12 meses. Es un medicamento con receta — se requiere una relación válida veterinario-cliente-paciente. Los efectos secundarios son poco comunes pero pueden incluir vómitos, diarrea y letargo."
¿Para qué se usa el Heartgard?,"Heartgard (ivermectina + pirantel) es un preventivo masticable mensual contra el gusano del corazón en perros. Los gusanos del corazón son parásitos transmitidos por mosquitos que viven en el corazón y las arterias pulmonares. Heartgard no mata los gusanos adultos — mata la etapa larval que los mosquitos depositan durante la picadura. Debe administrarse cada 30 días durante todo el año. Antes de comenzar el preventivo, se requiere una prueba de sangre para detectar gusanos del corazón. Heartgard también trata y controla los áscaris y los anquilostomas. Requiere receta médica."
"Immediate emergency signs — act now, do not wait","The following signs require calling an emergency vet immediately — do not wait until morning or the next available appointment: any seizure lasting more than 2 minutes or multiple seizures in 24 hours, collapse or sudden inability to stand or walk, open-mouth breathing or gasping in cats (always an emergency), severe difficulty breathing in any pet, suspected ingestion of poison, toxin, medication, or foreign object, uncontrolled bleeding that does not stop with 5 minutes of firm pressure, suspected broken bone with visible deformity, bloated or distended abdomen especially with unproductive retching in dogs, complete inability to urinate especially in male cats, pale, white, blue, or grey gums, eye trauma or sudden blindness, and body temperature below 99°F or above 104°F. When in doubt, always call — a 2-minute phone call to an emergency vet can save your pet's life."
What to do if your pet ingests something toxic,"If your pet has ingested or you suspect ingestion of a toxic substance: do not wait for symptoms to appear — some toxins cause irreversible damage before symptoms show. Immediately call your veterinarian or the ASPCA Animal Poison Control Center at 888-426-4435 (a consultation fee may apply). Have the following information ready: the pet's species, breed, age, and weight, the name of the substance ingested, the estimated amount ingested, and when ingestion occurred. Do not induce vomiting unless specifically instructed by a vet — this can cause additional harm with some substances such as caustics, petroleum products, or sharp objects. Bring the packaging or a sample of the substance to the vet if possible. Time is critical — the faster treatment begins, the better the outcome."
CPR basics for pets — when and how,"Pet CPR should only be performed if the animal is unconscious and not breathing. Check for breathing: watch for chest rise, listen for breath sounds, and feel for air movement from the nose. Check for a heartbeat by placing your hand on the left side of the chest just behind the front leg. If there is no heartbeat and no breathing: for dogs, place both hands on the widest part of the chest, compress 30 times at 100 compressions per minute (1/3 to 1/2 of chest width), then give 2 rescue breaths by closing the mouth and breathing into the nose. For cats and small dogs, use one hand with thumb and fingers on either side of the chest. Continue until the pet breathes on its own or you reach emergency care. CPR is a bridge to emergency treatment — get to a vet immediately."
How much should I feed my dog?,"Feeding amount depends on the dog's age, weight, activity level, and the specific food's caloric density. A general starting point is to follow the feeding guide on the food packaging, then adjust based on body condition. Most adult dogs do well with two meals per day — morning and evening. Free feeding (leaving food out all day) is not recommended as it makes it harder to monitor intake and contributes to obesity. Measure food by weight rather than volume for accuracy. Treats should not exceed 10% of daily caloric intake. Puppies need 3–4 meals per day until 6 months. Senior dogs may need fewer calories as metabolism slows. Always transition to new food gradually over 7–10 days to avoid digestive upset."
How much should I feed my cat?,"Most adult cats need between 200–300 calories per day depending on size and activity level. Indoor cats tend to be less active and need fewer calories than outdoor cats. Cats are obligate carnivores and need a diet high in animal protein. Wet food is generally preferred over dry food as it provides hydration — cats have a low thirst drive and chronic mild dehydration contributes to kidney disease. If feeding dry food, ensure fresh water is always available. Puzzle feeders and timed feeders help prevent overeating and provide mental stimulation. Avoid sudden food changes — transition over 10–14 days. Kittens need kitten-specific food until 12 months due to higher protein and calorie requirements."
Is it safe to give my dog bones?,"Raw meaty bones are generally safer than cooked bones. Cooked bones — especially chicken, turkey, and pork — become brittle when cooked and can splinter into sharp fragments that puncture the esophagus, stomach, or intestines. This is a medical emergency requiring surgery. Even raw bones carry risks including tooth fractures (especially hard weight-bearing bones like femurs), bacterial contamination (Salmonella, E. coli), and intestinal obstruction in dogs that swallow large chunks. If you choose to give bones, always supervise, choose raw bones appropriate for the dog's size, and remove the bone once it becomes small enough to swallow whole. Dental chews certified by the Veterinary Oral Health Council (VOHC) are a safer alternative for dental health."
When do puppies open their eyes?,"Puppies are born with their eyes closed. They begin to open between 10–14 days of age. Vision is initially blurry and continues developing for several weeks. Ears also open around the same time, typically at 2–3 weeks. During this period puppies are entirely dependent on their mother for warmth, nutrition, and stimulation. The critical socialization window for puppies is 3–16 weeks — positive exposure to people, other animals, sounds, surfaces, and environments during this period shapes temperament for life. Puppies should not leave their mother and littermates before 8 weeks as early separation leads to behavioral problems."
How do I introduce a new dog to my existing dog?,"Proper introduction reduces the risk of aggression and helps both dogs accept each other. Start with a neutral location — not your home where the existing dog is territorial. Walk both dogs parallel on leash with enough distance that they can see each other without reacting. Gradually close the distance over several minutes. Allow brief sniffing then separate and reward calm behavior. At home, keep them separated initially with a baby gate so they can see and smell each other safely. Feed separately to avoid resource guarding. Supervise all interactions for the first several weeks. Give the existing dog extra attention to avoid jealousy. Most dogs take 2–4 weeks to settle into a comfortable coexistence. Seek help from a certified behaviorist if serious aggression occurs."
What is kennel cough and how is it spread?,"Kennel cough (infectious tracheobronchitis) is a highly contagious respiratory infection in dogs caused by a combination of bacteria (most commonly Bordetella bronchiseptica) and viruses (parainfluenza, adenovirus). The hallmark symptom is a harsh, honking cough that sounds like the dog has something stuck in its throat, sometimes followed by retching or gagging. It spreads through direct contact, airborne droplets, and contaminated surfaces — anywhere dogs gather including boarding facilities, dog parks, groomers, and training classes. Most cases resolve in 1–3 weeks. Puppies, elderly dogs, and immunocompromised dogs can develop severe pneumonia. The Bordetella vaccine is recommended for dogs with regular social exposure. See a vet if the dog has a fever, stops eating, or the cough persists more than 3 weeks."
What is parvovirus and how dangerous is it?,"Canine parvovirus (CPV) is a highly contagious and potentially fatal viral disease that primarily affects puppies and unvaccinated dogs. It attacks the lining of the small intestine, causing severe bloody diarrhea, vomiting, lethargy, and loss of appetite. It can also attack bone marrow and the heart in very young puppies. The virus is transmitted through direct contact with infected feces and contaminated surfaces — it can survive on surfaces for months to years. Treatment is supportive (IV fluids, anti-nausea medication, antibiotics to prevent secondary infection) and survival rates with aggressive treatment are 68–92%. Without treatment survival drops to less than 10%. Prevention is through vaccination — the parvovirus vaccine is a core vaccine for all dogs. Puppies are most vulnerable before completing their vaccine series."
Can my dog get fleas even if they don't go outside much?,"Yes. Fleas can enter your home on clothing, shoes, other pets, and through gaps in doors and windows. Fleas are incredibly resilient — a single female flea can lay up to 50 eggs per day. Only about 5% of a flea infestation lives on the pet — 95% of eggs, larvae, and pupae live in the environment (carpets, furniture, bedding). This is why treating only the pet is insufficient. Year-round flea prevention is recommended even for primarily indoor dogs. If an infestation occurs, treat all pets in the household simultaneously, wash all bedding in hot water, vacuum thoroughly and frequently, and use an environmental flea spray. It can take 3–4 months to fully eliminate an established infestation due to the resilient pupal stage."
What is hip dysplasia in dogs?,"Hip dysplasia is a developmental condition where the hip joint does not form properly — the ball and socket do not fit snugly, causing abnormal wear, inflammation, and progressive arthritis. It is hereditary but environmental factors like rapid growth, high-calorie diet, and excessive exercise in puppyhood can worsen it. Large and giant breeds are most commonly affected — German Shepherds, Labrador Retrievers, Golden Retrievers, Rottweilers, and Great Danes are particularly prone. Symptoms include difficulty rising, reduced activity, bunny-hopping gait, lameness in the rear legs, and reluctance to climb stairs or jump. Diagnosis is by X-ray. Management includes weight control, controlled exercise, joint supplements, pain medication, and in severe cases, surgery (total hip replacement or femoral head ostectomy). Early detection through screening improves long-term outcomes."
How do I know if my dog has dental disease?,"Dental disease (periodontal disease) affects 80% of dogs by age 3 and is the most common health problem seen in veterinary practice. Signs include: bad breath (most common early sign), yellow or brown tartar buildup on teeth, red or swollen gums, receding gums, loose or missing teeth, drooling, pawing at the mouth, dropping food, and reluctance to eat hard food or chew toys. Dental disease is often painful but dogs hide pain well — many owners are surprised to learn their dog has severe dental disease because the dog continued eating normally. Untreated dental disease allows bacteria to enter the bloodstream and can damage the heart, kidneys, and liver. Annual professional dental cleaning under anesthesia and home brushing are the most effective preventive measures."
What is the difference between a dog allergy and a dog cold?,"Dogs do not get colds from the same viruses that cause human colds, though they can get their own respiratory infections. Kennel cough is the most common dog respiratory infection and causes coughing, not sneezing. Allergies in dogs primarily manifest as skin issues (itching, redness, hot spots, ear infections) rather than respiratory symptoms like in humans. However, some dogs do sneeze from environmental irritants, mold, or dust. Nasal discharge in dogs is worth investigating — clear discharge from allergies or mild infection, yellow or green discharge suggests bacterial infection, and bloody or dark discharge warrants urgent evaluation. Reverse sneezing (a snorting, honking sound) is common in dogs and usually harmless. If your dog has persistent nasal discharge, coughing, or sneezing lasting more than a few days, a vet visit is warranted."
What is bloat in dogs and why is it dangerous?,"Gastric Dilatation-Volvulus (GDV), commonly called bloat, is a life-threatening emergency that can kill a dog within hours. The stomach fills with gas and twists on its axis, trapping gas inside and cutting off blood supply to the stomach and spleen. Without emergency surgery, the dog will die. Signs include: distended or bloated abdomen, unproductive retching or dry heaving, excessive drooling, restlessness and inability to get comfortable, rapid shallow breathing, pale gums, and collapse. Large, deep-chested breeds are most at risk: Great Danes, German Shepherds, Standard Poodles, Weimaraners, and Boxers. Risk factors include eating one large meal per day, eating rapidly, exercising immediately after meals, and stress. If you suspect bloat, go to an emergency vet immediately — do not wait."
How do I safely remove a tick from my dog?,"Use fine-tipped tweezers or a tick removal tool. Grasp the tick as close to the skin surface as possible. Pull upward with steady, even pressure — do not twist or jerk, as this can cause the mouthparts to break off and remain in the skin. Do not squeeze the tick's body. After removal, clean the bite area with rubbing alcohol or soap and water. Dispose of the tick by placing it in alcohol, sealing it in a bag, or flushing it. Do not crush the tick with your fingers. Do not use petroleum jelly, nail polish, heat, or other home remedies to remove ticks — these methods are ineffective and may cause the tick to release more disease-causing agents. Monitor the bite site for signs of infection or rash. See a vet if the dog develops fever, lethargy, swollen joints, or loss of appetite within 2–4 weeks of tick exposure."
